addressID,address
452,Barrio Jerónimos
453,calle del Caballero de Gracia
454,Barrio Bernabéu-Hispanoamérica
455,calle de Alcorisa
456,calle del Doctor Sánchez
457,plaza de Alonso Martínez
458,calle de Marcenado
459,calle de la Madera
460,"calle Cuenca, 4"
461,calle Puerto de la Magdalena
462,avenida de José Antonio Corrales
463,Barrio Niño Jesús
464,avenida del Mediterráneo
465,calle de Maldonado
466,calle de Bretón de los Herreros
467,"avenida de Bruselas, 43"
468,calle de Javier Ferrero
469,calle de Félix Boix
470,"calle de García de Paredes, 78"
471,calle de Montesa
472,calle Nuestra Señora de Guadalupe
473,calle Santa Isabel
474,"calle del Ave María, 23"
475,calle de Nicasio Gallego
476,calle de las Mártires Concepcionistas
477,calle de Rafael Calvo
478,calle de la Estrella
479,calle de Vicente Martín Arias
480,Barrio Canillejas
481,"paseo de la Chopera, 33"
482,calle del Amor de Dios
483,calle de Juan Hurtado de Mendoza
484,calle de Jesús
485,"CL BRAVO MURILLO, 120"
486,Barrio Ciudad Jardín
487,calle de Lombía
488,"calle de Recoletos, 9"
489,calle de San Pedro
490,"calle Nicolás Godoy, 15"
491,calle Pinos Alta
492,calle de Maudes
493,calle Embalse de Valmayor
494,calle de Feijóo
495,calle de Costa Rica
496,"calle Alcalde López Casero, 15"
497,"Corredera Alta de San Pablo, 4"
498,calle de Ilustración
499,calle de la Duquesa de Parcent
500,ronda de Segovia
501,paseo de los Melancólicos
502,"costanilla de los Ángeles, 16"
503,calle de Santo Tomé
504,"calle de Guzmán el Bueno, 62"
505,calle de Nuestra Señora de Guadalupe
506,calle del Mediodía Chica
507,calle de Alberto Aguilera
508,calle de Raimundo Fernández Villaverde
509,plaza Prosperidad
510,"Gran Vía de Hortaleza, 5"
511,calle Obanos
512,calle Cóndor
513,via Gran
514,CL COSTA RICA
515,calle Alcalá
516,CL LOPE DE RUEDA
517,avenida del Manzanares
518,calle del General Díaz Porlier
519,Barrio Acacias
520,calle de Núñez Morgado
521,calle de Antonio Zapata
522,calle de Pablo Vidal
523,calle Sófora
524,calle de la Princesa de Éboli
525,"calle de Juan Navarro, 27"
526,"calle Ponzano, 57"
527,calle Santa Valentina
528,calle de Sánchez Pacheco
529,"calle Henri Dunant, 23"
530,"calle de Narváez, 59"
531,AV PRUNOS
532,"calle de Lagasca, 38"
533,"calle de Santa Engracia, 77"
534,"calle de Narciso Serra, 5"
535,calle Pensamiento
536,calle del Conde de Serrallo
537,calle del Marqués de Lema
538,calle de Vicente Muzas
539,"calle de Jorge Juan, 43"
540,calle de Suero de Quiñones
541,"CL BRETON DE LOS HERREROS, 3"
542,"ronda de Segovia, 15"
543,Gran Vía
544,calle de Fernán González
545,calle de los Cabestreros
546,calle de Dolores
547,calle Santa Engracia
548,calle de San Andrés
549,"calle de Núñez de Balboa, 114"
550,Barrio Estrella
551,calle del Duque de Sesto
552,calle de Francisca Moreno
553,Barrio Lavapiés-Embajadores
554,calle de Felipe IV
555,calle de Valverde
556,avenida de la Reina Victoria
557,calle de Santa Hortensia
558,calle de los Caños del Peral
559,calle Manuel Garcia
560,calle de Arganzuela
561,calle de Trujillos
562,calle del General Zabala
563,calle de Almagro
564,"PZ ESPAÑA, 6"
565,Barrio Arapiles
566,calle del Ave María s/n
567,Barrio Sol
568,CL ANA DE AUSTRIA
569,"calle de Santa Julia, 28"
570,"calle de Ciudad Real, 18"
571,Cuevas
572,calle Viloria de La Rioja
573,Barrio Castilla
574,"calle de Bustamante, 9"
575,"calle de Villaamil, 38"
576,"calle del Marqués de Mondéjar, 38"
577,"calle Lucano, 44"
578,calle del Conde de Aranda
579,calle de la Ruda
580,"calle Gabriel Lobo, 20"
581,calle del Pico Cebollera
582,calle Cerro Bermejo
583,calle de Oreja
584,avenida de Ramón y Cajal
585,calle de la Infanta María Teresa
586,Barrio Guindalera
587,calle de Antonio Arias
588,"calle Antonio González Porras, 3"
589,calle de la Lechuga
590,calle del Bastero
591,"paseo de la Dirección, 161"
592,"carretera de Castilla, 5800"
593,avenida de Brasil
594,"calle de Francisco Navacerrada, 15"
595,avenida de la Gavia
596,calle de la Ilusión
597,calle San Cosme y San Damián
598,"ronda de Segovia, 39"
599,calle de Santiago Bernabéu
600,calle de las Peñuelas
601,"calle de la Colegiata, 4"
602,calle de Alejandro Saint Aubin
603,Barrio Ciudad Universitaria
604,calle Almagro
605,calle de Juan de Mena
606,calle del Monte Esquinza
607,"calle de Jorge Juan, 129"
608,calle de Mira el Sol
609,"calle de Juan Esplandiú, 6"
610,Fuente de Torrejona
611,Barrio Puerta del Ángel
612,calle de Espronceda
613,PALAFOX
614,calle de los Jardines
615,calle de Máiquez
616,calle Corregidor Mendo de Zúñiga
617,arapiles s/n
618,Barrio Cuatro Caminos
619,calle Vicente Martín Arias
620,calle de San Enrique
621,cuesta de San Vicente
622,calle Pedro Barreda
623,calle de Villalobos
624,calle de Cebreros
625,calle de Canillas
626,calle José Ignacio Ávila
627,calle de la Buganvilla
628,Barrio Conde Orgaz-Piovera
629,calle de Ricardo Ortiz
630,plaza de los Mostenses
631,calle de los Robles
632,calle de Sánchez Preciado
633,calle de Martínez Corrochano
634,CL TOMAS BRETON
635,"paseo de las Delicias, 9"
636,calle de Cervantes
637,calle de Gutiérrez Solana
638,"calle de Juan Bravo, 7"
639,"calle de Edgar Neville, 7"
640,calle de Caravaca
641,calle del Gorrión
642,calle del General Aranaz
643,"calle Mayor, 21"
644,calle de San Aquilino
645,calle de Potosí
646,"calle de Euterpe, 17"
647,calle de Orellana
648,plaza Mayor
649,"calle Obanos, 18"
650,Barrio Aluche
651,calle de los Dos Amigos
652,glorieta de López de Hoyos
653,calle del Limonero
654,calle de los Morales
655,calle de Ponferrada
656,calle de Játiva
657,calle de Lavapiés
658,CL SAN HERMENEGILDO
659,"calle de las Magnolias, 97"
660,"calle del Conde de Serrallo, 1"
661,calle de San Epifanio
662,de Segovia
663,"calle de José Ortega y Gasset, 12"
664,"calle de Serrano, 62"
665,plaza del Conde del Valle de Súchil
666,paseo de San Francisco de Sales
667,calle ZURBANO
668,costanilla de San Andrés
669,calle de Zurbarán
670,calle de Viriato
671,calle del León
672,calle de San Marcos
673,calle de Manuel de Falla
674,calle de la Puebla
675,calle de Béjar
676,calle de Vinaroz
677,calle de Martínez Izquierdo
678,"avenida de Ramón y Cajal, 80"
679,calle de San Lorenzo
680,calle de Salustiano Olózaga
681,calle del Doctor Santero
682,calle de Alvarado
683,"calle de Guzmán el Bueno, 80"
684,calle del Sauce
685,plaza de San Juan de la Cruz
686,glorieta de Quevedo
687,calle del Doctor Cortezo
688,"calle de Dulcinea, 65"
689,"calle de Francisco Silvela, 65"
690,calle de Quintana
691,calle de Belén
692,"calle de las Margaritas, 3"
693,CL ADANERO
694,"calle de Toledo, 65"
695,calle de la Sombrerería
696,calle del Teniente Muñoz Díaz
697,calle de la Ballesta
698,calle de Carabelos
699,calle de Murcia
700,calle de Almadén
701,calle del Conde de Miranda
702,calle Torero
703,calle de Albino Hernández Lázaro
704,calle del Mesón de Paredes
705,calle Juana Fuentes
706,Barrio Tres Olivos - Valverde
707,calle de Cicerón
708,calle de Casto Plasencia
709,calle de los Relatores
710,calle de Almansa
711,Barrio Salvador
712,calle de Núñez de Arce
713,calle de Calatrava
714,calle Mayor
715,calle de la Sal
716,calle Galiana
717,"calle de Ayala, 84"
718,calle de San Agustín
719,Barrio Palomas
720,Barrio Quintana
721,calle de García de Paredes
722,calle de Barbieri
723,Barrio Chopera
724,Barrio Peñagrande
725,Barrio Imperial
726,calle del Olmo
727,calle de la Fuente del Rey
728,"calle de Peña de Francia, 8"
729,"calle Tulipero, 6"
730,"calle de garcía de paredes, 13"
731,calle de Concepción Jerónima
732,calle de Castilla
733,de Evaristo San Miguel
734,calle de Sagasta
735,"calle de García de Paredes, 92"
736,calle de Eguilaz
737,CL SAN VICENTE FERRER
738,Barrio Pueblo Nuevo
739,calle de Federico Moreno Torroba
740,"calle de la Sombrerería, 3"
741,"calle de Loeches, 1"
742,Concha Espina
743,"calle del Príncipe de Vergara, 86"
744,calle de Antonio Rodríguez Villa
745,Barrio Gaztambide
746,calle de San Alejandro
747,calle del Henares
748,calle Jesús de Polanco
749,calle de Martínez de la Riva
750,calle de Málaga
751,Villanueva
752,calle de Modesto Lafuente
753,calle de Juan de Austria
754,paseo del Comandante Fortea
755,calle de Martín de los Heros
756,calle de Juan Bautista de Toledo
757,plaza Luca de Tena
758,"calle del Labrador, 18"
759,ronda de Valencia
760,calle de Sanchorreja
761,calle de las Fraguas
762,calle de Manzanares
763,"calle de López de Hoyos, 200"
764,"calle Eduardo Benot, 4"
765,calle de la Montera
766,"calle Laín Calvo, 4"
767,calle de Muñoz Torrero
768,doctor gomez ulla
769,paseo de las Acacias
770,"calle de Mauricio Ravel, 3"
771,"paseo del Marqués de Zafra, 28"
772,"CL MINAS, 17"
773,"calle de Santa Engracia, 169"
774,"calle Cabeza, 30"
775,"calle de Galileo, 14"
776,"calle de Guzmán el Bueno, 102"
777,"calle de Concepción Jerónima, 11"
778,calle de la Cruz
779,"calle de Montesa, 32"
780,calle Machaquito
781,"plaza Doctor Laguna, 4 -------2"
782,calle de Leganitos
783,calle de Ferraz
784,"calle del Arenal, 22"
785,"calle Alcalá, 431"
786,calle de Narciso Serra
787,"calle de las Maldonadas, 11"
788,calle Peguerinos
789,calle San Eudaldo
790,"calle del Ave María, 20"
791,calle de Alonso Heredia
792,velázquez
793,calle San Isidro Labrador
794,calle Puenteareas
795,calle del Barquillo
796,"calle de la Jacaranda, 10"
797,avenida del Ensanche de Vallecas
798,calle del Puerto de Pozazal
799,"calle de José Antonio Rebolledo y Palma, 23"
800,calle de Sagasta s/n
801,calle de Atocha s/n
802,calle de Santa Brígida
803,calle de la Santísima Trinidad
804,calle del General Álvarez de Castro
805,calle de Zurbano
806,calle de Treviño
807,calle de Cartagena
808,"calle de González Amigo, 26"
809,Francisco Navacerrada
810,"calle de María Tudor, 10"
811,"calle Isabel Clara Eugenia, 62"
812,"calle Arturo Soria, 200"
813,avenida del Marqués de Corbera
814,calle de los Mártires de la Ventilla
815,calle de Alfonso XII
816,calle Rafael Bergamín
817,paseo de Extremadura
818,calle Laurin
819,calle del Barco
820,"calle del Bastero, 13"
821,calle de Santa Teresa
822,"calle de Cavanilles, 58"
823,"calle de Yerma, 10"
824,calle de la Anunciación
825,CL JUAN DE MENA
826,"calle de Maldonado, 40"
827,calle de Miguel Aracil
828,CL CACERES
829,calle de Coslada
830,calle de Rafael Salgado
831,calle de Víctor Andrés Belaunde
