,address,initial_price,final_price
286,"calle de bembibre, 24, Madrid","232.021,75","190.000,00"
287,"calle de cadalso de los vidrios, 2, Madrid","242.461,00","310.350,08"
288,"carrer de magallanes, 1, Madrid","452.727,00","534.417,86"
289,"calle fuente cisneros, 28, Madrid","318.000,00","248.040,00"
290,"calle paulina odiaga, 33, Madrid","294.600,00","188.544,00"
291,"calle de badalona, 27, Madrid","245.200,00","205.968,00"
292,"calle de pico de la peña golosa, 1, Madrid","285.900,00","197.221,18"
293,"calle de gómez de avellaneda, 29, Madrid","330.836,16","191.884,88"
294,"calle de alcalá de guadaíra, 18, Madrid","200.354,38","68.320,36"
295,"calle julia sola, 9, Madrid","201.980,11","48.675,20"
296,"carrer puerto de porzuna, 25, Madrid","246.268,00","137.910,08"
297,"calle fuentemilanos, 7, Madrid","5.406.000,00","2.811.120,00"
298,"calle del palmípedo, 2, Madrid","341.280,00","88.732,80"
299,"calle de puentelarra, 31, Madrid","227.796,00","186.792,72"
300,"calle sallaberry, 10, Madrid","92.496,00","166.492,80"
301,"calle de san dámaso, 16, Madrid","198.000,00","154.440,00"
302,"calle del mesón de paredes, 80, Madrid","25.454,25","50.144,38"

